moduleCode,title,description,prereqCourseCodes,extracted_skills,extracted_apps_tools,done
ACC4713,Banking Institutions:Managing Risks in a DigitalWorld,"This course equips students with internal audit, risk and compliance knowledge and skills. With a slant towards internal auditing, students will learn the key risks and controls in the major banking products such as global markets, credit and lending, wealth management, as well as the major banking regulations such as anti-money laundering/countering of terrorist financing rules. Students will learn how to design internal audit programmes to assess the adequacy and effectiveness of internal controls in these areas. Topics covered include data analytics, common modus operandi of banking frauds and control lapses, internal auditing standards, and internal audit report writing.","[""ACC3701""]",Internal Audit Function Management | Internal Controls,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4714,Advanced and Sustainability Assurance,To equip students with a good understanding of the theoretical and practical knowledge/techniques for a variety of assurance and attestation work other than the statutory audit. Such work is often more complex and requires advanced methodologies.,"[""ACC3701""]",Sustainability Assurance,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4715,Accounting Theory,"Accounting theory is a body of rules and theories which governs the practice of financial accounting. Many of the rules and theories are well reasoned economic rationales and tested over time. On the other hand, the state of accounting theory also changes as new accounting and financial transactions are created in the new economy. This course seeks to examine some of the core theories that underpin financial accounting. This is essential to a proper theoretical understanding of the discipline of financial accounting.","[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE""]",Financial Reporting | Financial Transactions,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4751,Advanced Independent Study in Accounting,Advanced Independent Study Courses (ISCs) are for senior students who are in the BBA(Acc) honors programs with the requisite background to work closely with an instructor on a well-defined project in the accounting area. (The courses may also be made available to students who are eligible for admission into the honors programs but choose to pursue the non-honors course of study.) Students will hone their research and report-writing skills while tackling an accounting related issue under the guidance of the instructor.,,Accounting Standards,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4752,Advanced Independent Study in Accounting (2 MCs),Advanced Independent Study Courses (ISCs) are for senior students who are in the BBA(Acc) honors programs with the requisite background to work closely with an instructor on a well-defined project in the accounting area. (The courses may also be made available to students who are eligible for admission into the honors programs but choose to pursue the non-honors course of study.) Students will hone their research and report-writing skills while tackling an accounting related issue under the guidance of the instructor.,,Accounting Standards,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4761,Seminars in Accounting,"Depending on the expertise available in particular semesters, this course can take on different areas. For example, one stream may be Seminars in Accounting: Advanced Issues in Financial Accounting, which will cover topics such as advanced consolidation, pension accounting, extractive industries, agriculture and emerging issues. Another stream may deal with insolvency and liquidation accounting, plus forensic accounting. Yet a third stream may focus on accounting for non-corporate entities such as partnerships, trusts, estates and charities. A fourth possible stream is methodology and research in accounting. The particular stream offered in a specific semester will be advertised in advance.",,Accounting Standards | Financial Reporting | Fund Accounting | Transactional Accounting | Restructuring Insolvency Advisory,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4761A,Seminars in Accounting: Internal Audit,"Internal auditing helps the Board of Directors, Audit Committee and Management of an organisation to add value and improve on the organisation's results and operations. It does this by reviewing and recommending processes for better governance and accountability. This includes giving assurance that polices and procedures are in place to ensure the organisation's objectives are achieved, risks are managed, controls are complied with, and resources are used efficiently and economically. This course provides students with the knowledge, both theory and practice, of how internal audits are done to achieve these objectives.","[""ACC2706"", ""ACC3701"", ""ACC3706""]",Governance,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4761C,Seminars in Accounting: Advanced Accounting Theory,"This course is designed to prepare accounting honours students with the necessary knowledge and skills to complete their honour theses. It is also suitable for students with an interest in gaining an understanding of important accounting issues such as earnings management, analyst and management earnings forecasts, voluntary disclosure, and accounting-based valuation.","[""ACC4715""]",Valuation | Valuation Research and Analysis,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4761D,Seminars in Accounting: Risk Management Technology,"This course extends the basic concepts of enterprise risk management by focusing on the use of technology to facilitate the identification of key risk indicators and near misses. Through the use of hands-on laboratory sessions and case studies, the course will have a special emphasis on identifying key risk indicators and near misses on social media platforms such as Facebook, Twitter and blogs. The analysis of sentiments on these platforms will be used to illustrate the link of these sentiments to the identification and prediction of key risk indicators and near misses.","[""ACC3701"", ""ACC3702"", ""ACC3703"", ""ACC3704"", ""ACC3705"", ""ACC3706"", ""ACC3707"", ""ACC3711"", ""ACC3712"", ""ACC3713"", ""ACC3714"", ""ACC3715"", ""ACC3717"", ""ACC3727""]",Enterprise Risk Management | Risk Management | Risk Assessment | Risk Analytics,Facebook Ads,success
ACC4761E,Seminars in Accounting: Public Sector Audit,The course discusses the regulations and practices in external and internal audits for public sector entities in Singapore. The emphasis may vary at the instructor's discretion.,"[""ACC3701""]",,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4761F,Seminars in Accounting: Advanced Corporate Governance,The course seeks to extend students' understanding of corporate governance derived from ACC3706 by in-depth discussion of selected topics that reflect the instructors' interests and expertise.,"[""ACC3706""]",Corporate Governance,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4761G,Seminars in Accounting: Advanced Risk Management,The course seeks to extend students' understanding of risk management derived from ACC3706 by in-depth discussion of selected topics that reflect the instructors' interests and expertise.,"[""ACC3706""]",Risk Management | Risk Analytics,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4761H,Sem. in Acctg: Accounting & Business Analysis for Banks,"This course seeks to strengthen students’ accounting knowledge and skills necessary to read and analyse the financial information of banks. The banking industry is one of the key pillars of modern economy and plays the unique role as an intermediary providing liquidity for the economy, facilitating commerce and providing credit to business enterprises and individuals.","[""FIN2704"", ""FIN2704X"", ""ACC2708""]",Financial Analysis,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
